stock_code,cluster,method,tag,score,dim,value,rank_in_group,tags
600941.SH,,latent_extreme,z8_top,15.782752,z8,15.782752,4,cluster_1_rep|z1_top|z5_bottom|z6_bottom|z8_top
600955.SH,,latent_extreme,z4_bottom,-8.242658,z4,-8.242658,7,z4_bottom|z6_top|z8_top
600955.SH,,latent_extreme,z6_top,12.114123,z6,12.114123,3,z4_bottom|z6_top|z8_top
600955.SH,,latent_extreme,z8_top,14.062887,z8,14.062887,5,z4_bottom|z6_top|z8_top
601061.SH,,latent_extreme,z2_bottom,-72.987,z2,-72.987,8,cluster_6_rep|z2_bottom|z3_top|z4_top|z5_top|z6_bottom|z7_top|z8_bottom
601061.SH,,latent_extreme,z3_top,62.450768,z3,62.450768,4,cluster_6_rep|z2_bottom|z3_top|z4_top|z5_top|z6_bottom|z7_top|z8_bottom
601061.SH,,latent_extreme,z4_top,69.43448,z4,69.43448,1,cluster_6_rep|z2_bottom|z3_top|z4_top|z5_top|z6_bottom|z7_top|z8_bottom
601061.SH,,latent_extreme,z5_top,47.82448,z5,47.82448,1,cluster_6_rep|z2_bottom|z3_top|z4_top|z5_top|z6_bottom|z7_top|z8_bottom
601061.SH,,latent_extreme,z6_bottom,-42.201233,z6,-42.201233,1,cluster_6_rep|z2_bottom|z3_top|z4_top|z5_top|z6_bottom|z7_top|z8_bottom
601061.SH,,latent_extreme,z7_top,47.832294,z7,47.832294,4,cluster_6_rep|z2_bottom|z3_top|z4_top|z5_top|z6_bottom|z7_top|z8_bottom
601061.SH,,latent_extreme,z8_bottom,-59.534985,z8,-59.534985,1,cluster_6_rep|z2_bottom|z3_top|z4_top|z5_top|z6_bottom|z7_top|z8_bottom
601668.SH,,latent_extreme,z1_top,87.542816,z1,87.542816,6,cluster_1_rep|z1_top|z2_bottom
601668.SH,,latent_extreme,z2_bottom,-112.22981,z2,-112.22981,2,cluster_1_rep|z1_top|z2_bottom
603021.SH,,latent_extreme,z3_top,47.057674,z3,47.057674,8,z3_top|z6_top|z7_top
603021.SH,,latent_extreme,z6_top,7.696626,z6,7.696626,7,z3_top|z6_top|z7_top
603021.SH,,latent_extreme,z7_top,43.01414,z7,43.01414,5,z3_top|z6_top|z7_top
603268.SH,,latent_extreme,z2_bottom,-73.57391,z2,-73.57391,7,z2_bottom|z3_bottom|z7_bottom|z8_bottom
603268.SH,,latent_extreme,z3_bottom,-26.976425,z3,-26.976425,1,z2_bottom|z3_bottom|z7_bottom|z8_bottom
603268.SH,,latent_extreme,z7_bottom,-29.946764,z7,-29.946764,1,z2_bottom|z3_bottom|z7_bottom|z8_bottom
603268.SH,,latent_extreme,z8_bottom,-9.285036,z8,-9.285036,4,z2_bottom|z3_bottom|z7_bottom|z8_bottom
603444.SH,,latent_extreme,z4_top,22.719246,z4,22.719246,6,z4_top|z6_bottom
603444.SH,,latent_extreme,z6_bottom,-20.248049,z6,-20.248049,8,z4_top|z6_bottom
688022.SH,,latent_extreme,z1_bottom,1.364363,z1,1.364363,4,z1_bottom
688115.SH,,latent_extreme,z4_top,19.251081,z4,19.251081,9,z4_top|z5_top|z8_bottom
688115.SH,,latent_extreme,z5_top,11.263763,z5,11.263763,5,z4_top|z5_top|z8_bottom
688115.SH,,latent_extreme,z8_bottom,-6.5591455,z8,-6.5591455,5,z4_top|z5_top|z8_bottom
688132.SH,,latent_extreme,z3_bottom,0.5185615,z3,0.5185615,6,z3_bottom|z7_bottom
688132.SH,,latent_extreme,z7_bottom,0.6900933,z7,0.6900933,9,z3_bottom|z7_bottom
688319.SH,,latent_extreme,z2_top,0.50649387,z2,0.50649387,4,z2_top
688418.SH,,latent_extreme,z5_top,4.6850777,z5,4.6850777,9,z5_top|z8_bottom
688418.SH,,latent_extreme,z8_bottom,-3.3921318,z8,-3.3921318,8,z5_top|z8_bottom
688506.SH,,latent_extreme,z3_bottom,0.81327045,z3,0.81327045,8,z3_bottom
689009.SH,,latent_extreme,z1_top,97.658295,z1,97.658295,3,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom
689009.SH,,latent_extreme,z2_bottom,-102.49848,z2,-102.49848,3,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom
689009.SH,,latent_extreme,z3_top,57.15145,z3,57.15145,6,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom
689009.SH,,latent_extreme,z4_top,36.21955,z4,36.21955,2,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom
689009.SH,,latent_extreme,z5_bottom,-56.06302,z5,-56.06302,8,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom
689009.SH,,latent_extreme,z6_bottom,-30.2178,z6,-30.2178,2,cluster_1_rep|z1_top|z2_bottom|z3_top|z4_top|z5_bottom|z6_bottom
920092.BJ,,latent_extreme,z3_top,55.19569,z3,55.19569,7,cluster_6_rep|z3_top|z4_top|z5_top|z7_top|z8_bottom
920092.BJ,,latent_extreme,z4_top,31.858892,z4,31.858892,4,cluster_6_rep|z3_top|z4_top|z5_top|z7_top|z8_bottom
920092.BJ,,latent_extreme,z5_top,20.65229,z5,20.65229,4,cluster_6_rep|z3_top|z4_top|z5_top|z7_top|z8_bottom
920092.BJ,,latent_extreme,z7_top,48.104164,z7,48.104164,3,cluster_6_rep|z3_top|z4_top|z5_top|z7_top|z8_bottom
920092.BJ,,latent_extreme,z8_bottom,-9.969684,z8,-9.969684,3,cluster_6_rep|z3_top|z4_top|z5_top|z7_top|z8_bottom
